date,Flotation_Column_02_Air_Flow,Ore_Pulp_Density,%_Iron_Concentrate,Flotation_Column_01_Level,Flotation_Column_04_Level,Flotation_Column_02_Level,Flotation_Column_03_Level,%_Iron_Feed,Amina_Flow,Starch_Flow,Ore_Pulp_pH,%_Silica_Feed,Flotation_Column_03_Air_Flow,%_Silica_Concentrate,Flotation_Column_01_Air_Flow,Ore_Pulp_Flow
2017-03-10 01:00:00,250.818,1.74,66.91,456.495,458.005,438.06,466.332,55.2,561.951,3148.05,10.0746,16.98,250.225,1.31,249.236,396.533
2017-03-10 01:00:00,249.829,1.74,66.91,461.45,458.59,421.41,467.79,55.2,558.472,3150.39,10.0755,16.98,251.147,1.31,249.17,397.852
2017-03-10 01:00:00,249.829,1.74,66.91,457.947,453.942,425.372,453.818,55.2,564.026,3280.27,10.0763,16.98,251.147,1.31,249.016,393.545
2017-03-10 01:00:00,250.137,1.74,66.91,448.037,458.516,428.26,447.074,55.2,567.261,3411.13,10.0771,16.98,251.609,1.31,249.258,394.16
2017-03-10 01:00:00,251.191,1.74,66.91,433.923,465.705,418.459,431.266,55.2,561.646,3447.46,10.0779,16.98,250.269,1.31,249.39,392.549
2017-03-10 01:00:00,252.202,1.74,66.91,434.674,459.922,416.42,435.956,55.2,560.364,3562.7,10.0788,16.98,249.456,1.31,250.005,394.688
2017-03-10 01:00:00,249.39,1.74,66.91,446.736,444.88,398.407,444.212,55.2,563.049,3707.03,10.0796,16.98,249.697,1.31,250.115,396.504
2017-03-10 01:00:00,246.533,1.74,66.91,451.991,429.998,426.335,443.024,55.2,557.983,3784.96,10.0804,16.98,249.829,1.31,250.049,394.834
2017-03-10 01:00:00,248.181,1.74,66.91,447.537,425.78,428.318,445.292,55.2,563.11,3798.05,10.0812,16.98,250.291,1.31,250.203,396.709
2017-03-10 01:00:00,247.939,1.74,66.91,452.441,418.668,443.155,444.104,55.2,564.27,3866.6,10.0821,16.98,249.719,1.31,250.269,398.262
2017-03-10 01:00:00,249.258,1.74,66.91,439.679,420.548,451.199,446.372,55.2,568.054,3907.42,10.0829,16.98,249.697,1.31,250.115,394.951
2017-03-10 01:00:00,251.433,1.74,66.91,441.681,421.288,446.1,444.428,55.2,560.669,3705.66,10.0837,16.98,249.521,1.31,250.356,396.123
2017-03-10 01:00:00,247.104,1.74,66.91,447.186,449.687,468.245,451.657,55.2,572.449,3554.3,10.0845,16.98,249.236,1.31,250.488,395.01
2017-03-10 01:00:00,247.456,1.74,66.91,453.542,458.008,500.023,454.624,55.2,563.416,3523.24,10.0854,16.98,249.324,1.31,250.181,394.453
2017-03-10 01:00:00,252.971,1.74,66.91,450.69,458.714,492.148,458.458,55.2,565.613,3514.65,10.0862,16.98,251.697,1.31,249.28,400.986
2017-03-10 01:00:00,252.883,1.74,66.91,451.24,456.76,504.664,456.838,55.2,569.031,3492.58,10.0875,16.98,250.686,1.31,248.95,408.018
