date,%_Iron_Concentrate,Flotation_Column_05_Air_Flow,Flotation_Column_03_Air_Flow,Flotation_Column_07_Level,Flotation_Column_06_Air_Flow,Ore_Pulp_Density,Flotation_Column_01_Air_Flow,Ore_Pulp_Flow,%_Silica_Concentrate,%_Silica_Feed,Flotation_Column_02_Air_Flow,%_Iron_Feed,Flotation_Column_04_Air_Flow,Flotation_Column_07_Air_Flow,Amina_Flow,Starch_Flow,Ore_Pulp_pH
2017-04-03 16:12:40,65.29,299.922,298.743,358.519,297.198,1721200.0,299.191,405086.0,2.07,22.97,303.48,51.7,299.918,298.9,525.325,2069.66,9.98294
2017-04-03 16:13:00,65.29,300.089,299.188,370.392,295.084,1720170.0,299.303,404789.0,2.07,22.97,304.87,51.7,300.252,298.956,524.707,2072.17,9.98506
2017-04-03 16:13:20,65.29,300.256,299.633,382.266,292.971,1719140.0,299.414,404492.0,2.07,22.97,306.261,51.7,300.586,299.011,524.089,2074.68,9.98717
2017-04-03 16:13:40,65.29,299.919,299.695,368.733,295.258,1718100.0,299.626,402440.0,2.07,22.97,304.989,51.7,300.457,299.279,523.129,2077.18,9.98929
2017-04-03 16:14:00,65.29,298.605,299.017,306.058,306.059,1717070.0,300.033,396991.0,2.07,22.97,298.567,51.7,299.436,299.958,521.507,2079.69,9.99141
2017-04-03 16:14:20,65.29,298.18,298.724,305.571,305.958,1716040.0,300.251,396650.0,2.07,22.97,298.867,51.7,299.581,299.207,521.82,2076.23,9.99352
2017-04-03 16:14:40,65.29,297.737,298.502,326.433,301.97,1715010.0,300.472,397832.0,2.07,22.97,301.747,51.7,300.245,297.213,523.051,2070.98,9.99564
2017-04-03 16:15:00,65.29,299.637,299.984,339.222,300.534,1713480.0,300.206,396817.0,2.07,22.97,299.88,51.7,300.586,296.571,521.994,2060.72,9.99776
2017-04-03 16:15:20,65.29,303.614,302.967,346.408,301.564,1711440.0,299.487,394668.0,2.07,22.97,293.808,51.7,300.489,297.532,518.732,2047.0,9.99988
2017-04-03 16:15:40,65.29,302.989,302.498,387.995,300.001,1709400.0,299.487,406542.0,2.07,22.97,297.089,51.7,299.239,300.656,517.864,2048.39,10.002
